Performance(MegaMultiply-Sums per Second)72378956.782750
Index,Sum
0,1074569344.000000
1,245960.578125
2,179197.125000
3,182264.515625
4,-258361.546875
5,308976.531250
6,-140772.687500
7,266029.562500
8,34055.117188
9,348175.906250
10,-249577.875000
11,334214.562500
12,-198584.953125
13,154932.546875
14,-17652.027344
15,232421.484375
16,22959.992188
17,280975.718750
18,189413.937500
19,356109.000000
20,240471.812500
21,78490.984375
22,-6399.407715
23,10644.007812
24,23024.253906
25,64127.191406
26,305235.687500
27,52435.949219
28,332393.093750
29,-7644.484863
30,247488.359375
31,207930.703125
32,-99692.523438
33,354566.250000
34,261908.890625
35,49759.632812
36,11231.049805
37,3310.090088
38,102786.062500
39,-194104.265625
40,361579.781250
41,25629.898438
42,-121733.382812
43,368136.656250
44,-30090.458984
45,57281.781250
46,321884.468750
47,-186856.515625
48,-231779.437500
49,287964.343750
50,410389.062500
51,222124.796875
52,333553.531250
53,111235.882812
54,70120.570312
55,-46076.148438
56,30987.115234
57,311652.062500
58,223096.609375
59,-22171.228516
60,120126.117188
61,291820.781250
62,3620.202393
63,-152915.968750
64,239216.171875
65,118683.828125
66,-144361.468750
67,304817.968750
68,-152789.828125
69,-166299.609375
70,-29875.525391
71,194724.078125
72,-231444.500000
73,47025.507812
74,-283348.968750
75,78375.718750
76,306801.781250
77,-125343.921875
78,-3221.214844
79,11309.410156
80,-220139.703125
81,275704.031250
82,-220376.515625
83,201188.328125
84,-61864.191406
85,-195405.609375
86,106162.179688
87,-205507.640625
88,-25576.867188
89,-107214.148438
90,-57401.398438
91,283694.562500
92,155855.375000
93,-12430.264648
94,-84402.976562
95,96489.367188
96,-138157.859375
97,155255.671875
98,-149632.390625
99,-332582.187500
100,92498.015625
101,62335.050781
102,-273544.375000
103,93284.335938
104,200185.515625
105,250119.031250
106,-253854.765625
107,63810.800781
108,-48208.125000
109,-220554.609375
110,238966.062500
111,61747.097656
112,-300268.937500
113,81195.421875
114,-324588.875000
115,176235.218750
116,-219038.890625
117,-93146.609375
118,-373953.875000
119,-11695.382812
120,-324263.156250
121,-193319.859375
122,-188816.250000
123,53168.933594
124,82211.968750
125,-267832.250000
126,-256557.359375
127,19634.980469
128,202646.578125
129,79327.617188
130,111927.304688
131,-225200.765625
132,-58937.191406
133,-36499.925781
134,107167.171875
135,-198346.718750
136,21932.828125
137,219734.078125
138,83712.054688
139,-30652.904297
140,-321838.343750
141,-374819.843750
142,32908.203125
143,209272.781250
144,54410.902344
145,-200661.062500
146,-137858.187500
147,-364717.843750
148,221709.187500
149,169460.718750
150,-210943.687500
151,26776.666016
152,-42593.718750
153,123467.015625
154,-231907.015625
155,50737.730469
156,-123443.609375
157,-144092.515625
158,-385063.843750
159,-294275.531250
160,-359643.000000
161,-139209.218750
162,194238.375000
163,23834.056641
164,-373870.218750
165,-224941.359375
166,103691.476562
167,-25935.744141
168,-117262.945312
169,-181957.703125
170,-112132.281250
171,-311864.531250
172,-99680.726562
173,175542.609375
174,-101190.703125
175,-316607.968750
176,-249174.078125
177,-121653.812500
178,-344936.875000
179,-269806.187500
180,-87647.710938
181,-16794.099609
182,72161.343750
183,-291912.718750
184,-49509.800781
185,-155882.593750
186,68922.773438
187,15666.063477
188,-279647.031250
189,289995.593750
190,-136487.843750
191,140228.828125
192,211224.812500
193,-270455.687500
194,-55527.398438
195,20463.744141
196,237067.687500
197,-1535.520386
198,298223.468750
199,163380.250000
200,1669.188721
201,-186256.796875
202,-140546.062500
203,60486.113281
204,-6426.191406
205,-99346.875000
206,28699.318359
207,-93164.992188
208,-77430.296875
209,308816.343750
210,36203.000000
211,-67916.789062
212,-200409.578125
213,314645.593750
214,241907.875000
215,370874.250000
216,344131.250000
217,231862.218750
218,-40251.660156
219,-51705.128906
220,130328.312500
221,-36090.632812
222,-171948.218750
223,-46582.714844
224,183557.468750
225,185891.000000
226,113658.015625
227,328935.281250
228,-128094.210938
229,110512.250000
230,276072.468750
231,237787.609375
232,276431.406250
233,-15757.866211
234,332909.218750
235,274342.062500
236,277820.437500
237,139927.875000
238,226088.625000
239,20913.576172
240,41607.660156
241,160312.531250
242,259108.781250
243,-75475.195312
244,-201348.468750
245,-170857.484375
246,350729.625000
247,417485.250000
248,205477.953125
249,220528.390625
250,227551.078125
251,151726.359375
252,-41037.332031
253,66343.742188
254,-182370.250000
255,78978.742188
256,220648.875000
257,97829.937500
258,-197883.937500
259,-126520.390625
260,285390.906250
261,-79861.765625
262,-41859.664062
263,-234467.890625
264,255686.937500
265,-229106.625000
266,56799.136719
267,-170674.359375
268,135502.625000
269,19646.427734
270,2464.710449
271,168678.593750
272,-87180.937500
273,125468.875000
274,-17533.361328
275,-149956.031250
276,179294.781250
277,168401.015625
278,158032.921875
279,-108268.875000
280,271747.218750
281,-217460.593750
282,159939.218750
283,27648.554688
284,-227334.125000
285,225612.328125
286,-135820.781250
287,-121924.085938
288,2866.297363
289,19337.074219
290,-115762.750000
291,-29503.265625
292,315883.187500
293,299059.593750
294,265927.593750
295,-21676.580078
296,-117161.320312
297,-305252.375000
298,108819.476562
299,-51860.976562
300,-35652.433594
301,275530.218750
302,-72074.906250
303,215616.218750
304,-236595.203125
305,-65745.210938
306,-112464.617188
307,183798.640625
308,302479.781250
309,64466.011719
310,-170034.687500
311,-55001.187500
312,-276488.500000
313,-72171.773438
314,6085.951660
315,-22732.298828
316,-196768.171875
317,-237692.656250
318,-280068.125000
319,-269845.218750
320,234100.125000
321,260472.687500
322,197373.312500
323,-382418.218750
324,-188750.562500
325,-161924.890625
326,-79575.226562
327,-112808.773438
328,160646.890625
329,-80227.390625
330,-55370.160156
331,-396617.125000
332,-126675.664062
333,158439.062500
334,-394608.718750
335,-273779.656250
336,159127.703125
337,-237301.843750
338,-315699.093750
339,-171009.000000
340,-120990.960938
341,-24144.378906
342,-127623.054688
343,38000.031250
344,5121.072754
345,57535.339844
346,-191440.078125
347,128407.929688
348,56136.445312
349,-328215.906250
350,168276.421875
351,-294603.625000
352,23154.304688
353,114126.015625
354,-317161.656250
355,197407.187500
356,-354018.281250
357,134397.343750
358,-74627.656250
359,133056.906250
360,-226726.343750
361,-280091.906250
362,66813.140625
363,38133.605469
364,-315166.312500
365,-223199.234375
366,-386422.906250
367,-65283.917969
368,29638.660156
369,35187.781250
370,124192.265625
371,-71457.734375
372,-393512.531250
373,-27393.935547
374,-173491.593750
375,21051.560547
376,-356613.937500
377,-121156.437500
378,-202133.609375
379,253935.343750
380,88810.289062
381,-42835.816406
382,-370168.031250
383,191325.328125
384,82753.773438
385,-141884.156250
386,161537.281250
387,28516.894531
388,-326718.218750
389,-258711.734375
390,257553.796875
391,-301574.906250
392,281266.218750
393,-98733.460938
394,-102459.015625
395,176812.656250
396,82415.843750
397,278602.000000
398,164913.125000
399,-300365.281250
400,-122458.101562
401,199014.421875
402,191151.796875
403,-21071.951172
404,-218109.171875
405,-279655.781250
406,126813.031250
407,-55614.578125
408,26705.757812
409,40077.230469
410,-110195.812500
411,-289639.062500
412,-196194.859375
413,193677.968750
414,110620.812500
415,-154598.421875
416,103491.625000
417,23128.199219
418,-185251.828125
419,-257306.218750
420,-16921.400391
421,142247.265625
422,-154740.671875
423,-230467.328125
424,309596.093750
425,252953.796875
426,-174153.703125
427,-145960.906250
428,150137.328125
429,-239895.531250
430,-203525.343750
431,137033.546875
432,-124778.382812
433,-82962.804688
434,-161912.437500
435,384688.281250
436,324758.125000
437,-91070.375000
438,142593.234375
439,201623.921875
440,252043.250000
441,124764.117188
442,294969.750000
443,144408.578125
444,41570.449219
445,298579.562500
446,-91015.093750
447,276029.718750
448,18208.980469
449,127292.875000
450,371922.500000
451,212573.343750
452,328222.375000
453,-161971.125000
454,-70346.546875
455,-134590.875000
456,53932.453125
457,205586.015625
458,-155377.078125
459,-102067.625000
460,-140465.359375
461,-111042.804688
462,-41465.195312
463,46628.906250
464,-219044.578125
465,-123592.484375
466,20386.556641
467,-81760.109375
468,190275.156250
469,119503.257812
470,328422.468750
471,125830.117188
