Performance(MegaMultiply-Sums per Second)1825.837781Index,Sum
0,1074809344.000000
1,451743.312500
2,16378.558594
3,183895.531250
4,-85339.929688
5,518317.937500
6,-489273.531250
7,455002.625000
8,160257.406250
9,326497.187500
10,-15737.607422
11,421842.375000
12,-447697.906250
13,-36231.203125
14,-192671.375000
15,87423.578125
16,263985.343750
17,171378.843750
18,195839.968750
19,512771.625000
20,331512.656250
21,254836.218750
22,138455.421875
23,-54862.179688
24,124377.390625
25,298177.531250
26,76821.289062
27,-51191.070312
28,92444.406250
29,49389.414062
30,278334.843750
31,450027.750000
32,-345834.906250
33,557952.375000
34,217081.781250
35,230936.828125
36,-205031.015625
37,275688.843750
38,-221353.171875
39,9784.207031
40,246186.250000
41,10697.786133
42,-353620.031250
43,614559.812500
44,-352552.781250
45,-29717.863281
46,649681.125000
47,-226612.750000
48,-420932.250000
49,512897.812500
50,523836.531250
51,328642.531250
52,357589.937500
53,-150991.968750
54,67656.023438
55,117124.398438
56,91742.085938
57,498847.687500
58,165989.656250
59,320395.531250
60,-64573.359375
61,619885.875000
62,292894.500000
63,-348767.593750
64,-45905.519531
65,-44239.820312
66,-322394.500000
67,246680.062500
68,185791.890625
69,82325.281250
70,111579.015625
71,135537.359375
72,61718.007812
73,18250.812500
74,-36896.480469
75,96912.140625
76,201195.546875
77,-24881.820312
78,37273.710938
79,229327.937500
80,-402198.718750
81,647038.125000
82,-256870.515625
83,534566.750000
84,249856.359375
85,-174446.953125
86,454249.000000
87,-234209.046875
88,-45483.550781
89,-181383.812500
90,137112.093750
91,29714.033203
92,508193.375000
93,-201564.906250
94,180738.140625
95,87318.460938
96,64568.800781
97,186003.890625
98,182508.687500
99,-391518.718750
100,344795.968750
101,428947.562500
102,-172835.500000
103,438632.718750
104,420679.312500
105,377488.062500
106,-63028.640625
107,44262.535156
108,331063.250000
109,-357267.218750
110,471865.156250
111,247328.718750
112,-262060.843750
113,-133615.640625
114,-27124.490234
115,205969.484375
116,-346571.843750
117,-302337.781250
118,-278783.937500
119,140159.109375
120,-438143.625000
121,-50115.960938
122,19748.507812
123,-100231.453125
124,-32468.304688
125,-447575.687500
126,-486710.625000
127,230509.890625
128,391930.187500
129,174824.343750
130,222579.750000
131,-344427.781250
132,205091.500000
133,-137481.656250
134,380097.906250
135,-97178.664062
136,226653.562500
137,565012.312500
138,-121324.390625
139,-266807.531250
140,-163563.093750
141,-656000.562500
142,-54312.476562
143,-6117.868652
144,7810.909180
145,55005.765625
146,114519.054688
147,-296916.718750
148,178192.015625
149,314889.812500
150,-392786.781250
151,-72582.539062
152,133028.531250
153,60876.679688
154,-197283.484375
155,183347.500000
156,-199374.703125
157,-73642.335938
158,-94891.023438
159,-47974.312500
160,-688405.562500
161,-429453.781250
162,313903.437500
163,-142357.421875
164,-205650.109375
165,-420454.312500
166,-115208.898438
167,200280.484375
168,-275630.968750
169,51907.687500
170,160264.390625
171,-287831.156250
172,-160137.625000
173,67968.203125
174,-331446.250000
175,-353961.218750
176,-178412.953125
177,-114632.992188
178,-356736.468750
179,-554975.562500
180,123366.773438
181,-90513.906250
182,-127118.328125
183,-202866.875000
184,-410945.875000
185,-81010.101562
186,150492.906250
187,-186528.656250
188,-569040.250000
189,271249.375000
190,-396456.687500
191,371829.281250
192,-135326.234375
193,-50740.062500
194,-350169.875000
195,243118.015625
196,351295.250000
197,71651.734375
198,363700.750000
199,283541.593750
200,-267688.312500
201,-439625.062500
202,-230820.328125
203,-148633.750000
204,107842.445312
205,-460471.125000
206,203100.781250
207,-57825.820312
208,-155245.406250
209,526817.000000
210,32477.630859
211,-183688.968750
212,-237438.390625
213,-69829.312500
214,242733.234375
215,316468.312500
216,359724.250000
217,-84960.812500
218,-266714.031250
219,-386032.906250
220,251008.250000
221,-91546.398438
222,-542348.875000
223,-78483.851562
224,332593.000000
225,196465.953125
226,-44073.175781
227,147083.437500
228,-223577.187500
229,-188404.781250
230,521631.875000
231,386623.812500
232,396815.281250
233,-218053.671875
234,247859.968750
235,-13162.033203
236,345950.531250
237,-33062.718750
238,61287.488281
239,294039.781250
240,34182.664062
241,-93804.609375
242,17276.228516
243,-258593.234375
244,-59374.023438
245,-185504.218750
246,368714.906250
247,69746.992188
248,265083.687500
249,369071.656250
250,365713.343750
251,350065.531250
252,-340667.437500
253,56524.933594
254,-391786.937500
255,271386.593750
256,371149.406250
257,-186456.812500
258,-372329.062500
259,174043.968750
260,571461.625000
261,-147124.312500
262,-302044.937500
263,69170.109375
264,491872.343750
265,47313.531250
266,-124263.007812
267,-110368.476562
268,263663.187500
269,319630.812500
270,-289039.531250
271,94785.523438
272,-344649.250000
273,-177450.312500
274,332804.937500
275,205552.187500
276,181328.859375
277,304741.000000
278,-107984.804688
279,220033.531250
280,397320.156250
281,-349686.031250
282,26708.496094
283,206598.468750
284,-321776.500000
285,7684.609375
286,210850.640625
287,-143738.125000
288,249344.609375
289,286248.343750
290,-218061.546875
291,334014.843750
292,647922.125000
293,645017.375000
294,486265.843750
295,202531.468750
296,138727.546875
297,-244753.531250
298,214007.812500
299,53048.992188
300,230109.953125
301,172141.375000
302,-326159.093750
303,70766.484375
304,12162.074219
305,112089.023438
306,-232761.187500
307,211187.156250
308,60165.710938
309,195568.531250
310,-165645.031250
311,81806.679688
312,-50062.890625
313,100167.625000
314,-60407.625000
315,-1162.674805
316,-309629.562500
317,-281113.656250
318,-505502.781250
319,-245651.578125
320,278358.562500
321,558290.750000
322,167134.265625
323,-40301.281250
324,-87730.890625
325,27325.812500
326,-320051.687500
327,-238916.734375
328,195538.140625
329,245455.578125
330,228655.421875
331,-296326.625000
332,8819.492188
333,-92294.375000
334,-155950.671875
335,-322551.562500
336,470807.156250
337,87597.484375
338,-241351.375000
339,152898.687500
340,-147995.140625
341,-299622.312500
342,-69449.609375
343,243528.031250
344,75219.062500
345,186767.968750
346,165654.640625
347,-36362.816406
348,-132688.781250
349,-131749.390625
350,356201.218750
351,-220163.890625
352,185524.609375
353,224043.375000
354,3608.802734
355,474624.687500
356,-342051.406250
357,-137084.421875
358,-6224.204102
359,376486.812500
360,-430504.906250
361,-284501.125000
362,298130.062500
363,54972.242188
364,-559475.437500
365,-160910.812500
